Symbol,Date,Open,High,Low,Close,Adj Close,Volume
COKE,5/29/2020,245.25,248.449997,238.5,243.429993,242.681427,40400
COKE,6/1/2020,243,253,243,243.539993,242.791077,35600
COKE,6/2/2020,246.470001,250,243,243.009995,242.262695,32500
COKE,6/3/2020,246.539993,250.979996,243,243.520004,242.771149,46500
COKE,6/4/2020,244.229996,245.5,240.509995,242.449997,241.704422,41400
COKE,6/5/2020,245.850006,246.509995,241.600006,242.949997,242.202881,52300
COKE,6/8/2020,247.850006,247.850006,243,243.720001,242.970535,41000
COKE,6/9/2020,243,245,240.759995,242.800003,242.05336,46000
COKE,6/10/2020,242.330002,245,238.740005,240,239.261963,34300
COKE,6/11/2020,231.550003,238.199997,220,221.529999,220.848755,66100
COKE,6/12/2020,231.399994,233.979996,225.720001,231.820007,231.107132,57900
COKE,6/15/2020,226.990005,237.589996,226.910004,237.389999,236.660004,36700
COKE,6/16/2020,241.990005,244.800003,237,241.380005,240.637711,46900
COKE,6/17/2020,241.779999,242.149994,239.5,240.029999,239.291885,20000
COKE,6/18/2020,238.039993,243.830002,238.039993,243.830002,243.080185,21600
COKE,6/19/2020,245,247.449997,240.270004,240.270004,239.531128,59200
COKE,6/22/2020,239.360001,241.779999,233.149994,234.910004,234.187622,29900
COKE,6/23/2020,237.809998,237.899994,233.529999,233.75,233.031189,28100
COKE,6/24/2020,232.880005,234,228.759995,230.440002,229.731384,35300
COKE,6/25/2020,228.369995,231.990005,226.979996,231.990005,231.276611,29400
COKE,6/26/2020,231.300003,232,220.199997,221.270004,220.589569,50800
COKE,6/29/2020,225.130005,235,224.660004,231.809998,231.097137,36300
COKE,6/30/2020,230.600006,233,228.399994,229.190002,228.485214,19700
COKE,7/1/2020,230.25,233.990005,229,229.610001,228.903915,27500
COKE,7/2/2020,231.839996,233.020004,230.009995,230.009995,229.302689,25400
COKE,7/6/2020,233.110001,234.990005,231.720001,234.279999,233.559555,33400
COKE,7/7/2020,232.259995,234.449997,230.940002,231.309998,230.598679,25200
COKE,7/8/2020,232.419998,232.419998,228,230.5,229.791199,21500
COKE,7/9/2020,228.660004,228.789993,222.360001,223,222.314255,36300
COKE,7/10/2020,224.610001,228.820007,223.050003,225.860001,225.165466,41300
COKE,7/13/2020,227.820007,228.210007,224,225.660004,224.96608,39600
COKE,7/14/2020,225.960007,228.949997,224.220001,227.960007,227.259018,35200
COKE,7/15/2020,229.649994,232.300003,228,229.009995,228.305771,29200
COKE,7/16/2020,229.919998,229.919998,226,227.5,226.800415,24200
COKE,7/17/2020,226.949997,233.639999,226.949997,230.380005,229.671539,39400
COKE,7/20/2020,230.490005,233.410004,227,227,226.301956,43600
COKE,7/21/2020,227.619995,231.350006,226.009995,226.660004,225.962997,40200
COKE,7/22/2020,225.589996,228.479996,225.589996,227.589996,226.890121,47200
COKE,7/23/2020,228.639999,228.639999,226,228.539993,228.087753,52000
COKE,7/24/2020,229.029999,233.5,227.960007,230.279999,229.82431,43100
COKE,7/27/2020,230.729996,236,229.720001,234.389999,233.926178,50300
COKE,7/28/2020,234.210007,235.210007,230.559998,230.559998,230.10376,31600
