Symbol,Date,Open,High,Low,Close,Adj Close,Volume
PEP,5/29/2020,132.009995,132.240005,130.320007,131.550003,128.688065,13338800
PEP,6/1/2020,131.600006,133.949997,131.190002,132.990005,130.096725,4049200
PEP,6/2/2020,133.050003,133.809998,131.119995,132.630005,129.744537,5327500
PEP,6/3/2020,133.240005,134.279999,132.600006,132.820007,129.930405,5421200
PEP,6/4/2020,131.589996,133.559998,130.179993,130.570007,128.720795,5229700
PEP,6/5/2020,131,133.520004,130.770004,132.440002,130.564316,7075700
PEP,6/8/2020,131.380005,132.470001,131.240005,132.210007,130.33757,5613000
PEP,6/9/2020,131.830002,133.149994,131.050003,132.970001,131.086807,6446900
PEP,6/10/2020,133.279999,135.160004,133.169998,134.130005,132.230377,7069900
PEP,6/11/2020,134.220001,135.139999,127.459999,127.839996,126.029457,8541000
PEP,6/12/2020,129.149994,129.929993,127.43,129,127.173035,7039500
PEP,6/15/2020,128.289993,130.960007,126.529999,130.479996,128.632065,5481000
PEP,6/16/2020,132.679993,133.059998,130.119995,131.669998,129.805206,5197700
PEP,6/17/2020,131.889999,133.039993,131.490005,131.759995,129.893936,3309700
PEP,6/18/2020,131.419998,133.130005,130.630005,132.779999,130.89949,3417200
PEP,6/19/2020,134.410004,134.820007,131.220001,131.279999,129.420731,8310100
PEP,6/22/2020,130.550003,131.759995,129.949997,131.050003,129.193985,3379900
PEP,6/23/2020,131.619995,132.679993,130.979996,131.360001,129.499603,3625600
PEP,6/24/2020,130.520004,131.070007,128.679993,129.559998,127.725098,4853500
PEP,6/25/2020,129.139999,131.729996,128.050003,131.410004,129.548904,4442000
PEP,6/26/2020,131.679993,132.369995,128.059998,128.929993,127.104004,7372700
PEP,6/29/2020,130.179993,131.399994,129.429993,131.080002,129.223572,4173900
PEP,6/30/2020,131.830002,132.820007,130.850006,132.259995,130.386841,4626700
PEP,7/1/2020,132.529999,133.619995,131.940002,132.360001,130.485443,3633000
PEP,7/2/2020,133.539993,134.169998,132.539993,132.850006,130.968506,2769200
PEP,7/6/2020,133.080002,133.949997,132.309998,133.300003,131.41214,4221600
PEP,7/7/2020,132.270004,134.619995,132.169998,133.570007,131.678299,4424500
PEP,7/8/2020,134.160004,134.690002,133.160004,134.220001,132.319092,3798200
PEP,7/9/2020,132.899994,133.940002,131.729996,132.710007,130.83049,4005200
PEP,7/10/2020,132.369995,134.889999,131.279999,134.460007,132.55571,5932800
PEP,7/13/2020,136.770004,138.070007,134.470001,134.910004,132.999329,8960000
PEP,7/14/2020,134.589996,136.949997,134.25,135.520004,133.600693,6766800
PEP,7/15/2020,135.350006,136.190002,133.25,133.690002,131.7966,5561300
PEP,7/16/2020,134.059998,134.360001,133.050003,133.880005,131.983917,3788100
PEP,7/17/2020,134.649994,135.059998,133.550003,134.660004,132.752869,3229300
PEP,7/20/2020,134.610001,134.610001,132.179993,133.110001,131.224823,3620300
PEP,7/21/2020,134,136.410004,133.789993,134.429993,132.526123,5435400
PEP,7/22/2020,135.559998,136.25,133.679993,136.009995,134.08374,3522300
PEP,7/23/2020,136.589996,137.25,135.490005,137.080002,135.138596,5011400
PEP,7/24/2020,136.990005,138.639999,135.389999,136.059998,134.133026,3300000
PEP,7/27/2020,135.529999,137.759995,134.850006,137.669998,135.72023,3607700
PEP,7/28/2020,137.979996,138.589996,137.089996,137.380005,135.434357,3787500
PEP,7/29/2020,137.380005,139,137.039993,137.929993,135.976547,3179000
PEP,7/30/2020,137.240005,138.220001,136.479996,137.690002,135.73996,2817600
PEP,7/31/2020,137.259995,137.699997,135.199997,137.660004,135.710388,4304100
PEP,8/3/2020,137.110001,137.5,136,136.699997,134.763977,2819200
PEP,8/4/2020,137.520004,137.589996,136.020004,137.470001,135.523071,2553500
PEP,8/5/2020,138.149994,138.149994,135.770004,136.25,134.320343,2924600
